Target,RA,DEC,Sp. Type,T_eff [K],B [mag],V [mag],G [mag],Dist [pc],Explore data (GLS),Data products (dat),Data products (csv),RA_deg,DEC_deg
HD168960,18:21:50.3846,+15:37:33.678,G5,5940.0,,,7.713,61.38,GLS of RVs | Inspect data,HD168960_HARPS_RVBank_ver02.dat,HD168960_HARPS_RVBank_ver02.csv,275.4599358333333,15.626021666666666
HD168988,18:23:19.9271,-20:39:13.091,K5/M0(III),3749.8,9.74,7.68,6.437,1571.52,GLS of RVs | Inspect data,HD168988_HARPS_RVBank_ver02.dat,HD168988_HARPS_RVBank_ver02.csv,275.83302958333326,-20.653636388888888
HD16905,02:40:03.1897,-61:21:15.279,K3V,4851.7,10.46,9.46,9.12,39.81,GLS of RVs | Inspect data,HD16905_HARPS_RVBank_ver02.dat,HD16905_HARPS_RVBank_ver02.csv,40.01329041666666,-61.35424416666667
HD1690,00:21:13.3273,-08:16:52.164,K1(III),4445.0,10.515,9.178,8.756,788.71,GLS of RVs | Inspect data,HD1690_HARPS_RVBank_ver02.dat,HD1690_HARPS_RVBank_ver02.csv,5.305530416666666,-8.281156666666668
HD169123,18:24:57.7890,-38:34:30.315,M2/3III,3765.1,9.43,7.79,6.675,533.08,GLS of RVs | Inspect data,HD169123_HARPS_RVBank_ver02.dat,HD169123_HARPS_RVBank_ver02.csv,276.24078749999995,-38.5750875
HD169142,18:24:29.7799,-29:46:49.327,F1VekA3mA3_lB?,7320.6,8.42,8.16,8.069,114.87,GLS of RVs | Inspect data,HD169142_HARPS_RVBank_ver02.dat,HD169142_HARPS_RVBank_ver02.csv,276.1240829166666,-29.78036861111111
HD169178,18:24:50.5643,-34:11:26.037,K0V,5116.3,9.79,8.94,8.714,43.29,GLS of RVs | Inspect data,HD169178_HARPS_RVBank_ver02.dat,HD169178_HARPS_RVBank_ver02.csv,276.21068458333326,-34.19056583333333
HD169370,18:24:42.1276,-07:04:33.358,K0/1III,4515.3,7.447,6.296,5.926,108.22,GLS of RVs | Inspect data,HD169370_HARPS_RVBank_ver02.dat,HD169370_HARPS_RVBank_ver02.csv,276.17553166666664,-7.075932777777777
HD169392A,18:24:42.9854,-06:36:13.674,G0IV,6063.0,7.98,7.41,7.298,74.89,GLS of RVs | Inspect data,HD169392A_HARPS_RVBank_ver02.dat,HD169392A_HARPS_RVBank_ver02.csv,276.17910583333327,-6.603798333333333
HD169690,18:25:38.7990,+08:01:55.225,G9II+B9V,4765.0,6.545,5.665,5.339,269.82,GLS of RVs | Inspect data,HD169690_HARPS_RVBank_ver02.dat,HD169690_HARPS_RVBank_ver02.csv,276.4116625,8.032006944444445
HD169744,18:31:32.3546,-67:57:18.060,B8III,8868.7,7.89,7.99,7.977,397.24,GLS of RVs | Inspect data,HD169744_HARPS_RVBank_ver02.dat,HD169744_HARPS_RVBank_ver02.csv,277.8848108333333,-67.95501666666667
HD16975,02:42:06.6072,-38:23:01.273,G8III,5140.0,6.909,5.988,5.775,126.95,GLS of RVs | Inspect data,HD16975_HARPS_RVBank_ver02.dat,HD16975_HARPS_RVBank_ver02.csv,40.52753,-38.38368694444444
HD169822,18:26:10.0827,+08:46:39.150,G6V,,8.52,,7.652,31.07,GLS of RVs | Inspect data,HD169822_HARPS_RVBank_ver02.dat,HD169822_HARPS_RVBank_ver02.csv,276.54201125,8.777541666666668
HD169830,18:27:49.4849,-29:49:00.700,F7V,6196.8,6.406,5.902,5.772,37.6,GLS of RVs | Inspect data,HD169830_HARPS_RVBank_ver02.dat,HD169830_HARPS_RVBank_ver02.csv,276.9561870833333,-29.816861111111113
HD169836,18:29:56.7377,-57:31:23.309,K0III,4899.5,6.74,5.74,5.486,107.98,GLS of RVs | Inspect data,HD169836_HARPS_RVBank_ver02.dat,HD169836_HARPS_RVBank_ver02.csv,277.4864070833333,-57.52314138888889
HD170031,18:27:07.3920,+06:04:11.370,G8,4550.8,9.43,8.2,7.816,274.46,GLS of RVs | Inspect data,HD170031_HARPS_RVBank_ver02.dat,HD170031_HARPS_RVBank_ver02.csv,276.78079999999994,6.069825
HD170053,18:27:14.2812,+07:00:32.752,K0IIb,4202.0,8.728,7.301,6.84,397.76,GLS of RVs | Inspect data,HD170053_HARPS_RVBank_ver02.dat,HD170053_HARPS_RVBank_ver02.csv,276.80950499999994,7.009097777777778
HD170174,18:27:54.7371,+06:36:00.341,G9IIIFe0.5:,4895.2,9.39,8.31,7.987,398.2,GLS of RVs | Inspect data,HD170174_HARPS_RVBank_ver02.dat,HD170174_HARPS_RVBank_ver02.csv,276.9780712499999,6.600094722222222
HD170200,18:27:58.7736,+06:11:38.772,B8III,9661.0,5.665,5.699,5.671,263.29,GLS of RVs | Inspect data,HD170200_HARPS_RVBank_ver02.dat,HD170200_HARPS_RVBank_ver02.csv,276.99488999999994,6.1941033333333335
HD170231,18:28:00.1840,+06:54:51.426,G8IIb,4966.2,9.72,8.69,8.328,388.21,GLS of RVs | Inspect data,HD170231_HARPS_RVBank_ver02.dat,HD170231_HARPS_RVBank_ver02.csv,277.0007666666666,6.9142850000000005
HD17025,02:43:03.6100,-31:04:11.925,G6/8IV,5138.4,8.35,7.54,7.324,239.11,GLS of RVs | Inspect data,HD17025_HARPS_RVBank_ver02.dat,HD17025_HARPS_RVBank_ver02.csv,40.76504166666667,-31.069979166666666
HD170270,18:28:10.7886,+07:57:14.667,K5,4005.0,9.15,7.52,6.842,593.44,GLS of RVs | Inspect data,HD170270_HARPS_RVBank_ver02.dat,HD170270_HARPS_RVBank_ver02.csv,277.04495249999997,7.954074166666667
HD170292,18:28:22.9728,+06:42:29.251,G6.5IIIFe-0.5CH0.5,4904.8,9.8,8.77,8.464,393.86,GLS of RVs | Inspect data,HD170292_HARPS_RVBank_ver02.dat,HD170292_HARPS_RVBank_ver02.csv,277.09572,6.708125277777778
HD17039,02:43:55.5647,-07:54:44.938,K1IIICNIb/II,4690.4,7.73,6.55,6.221,82.81,GLS of RVs | Inspect data,HD17039_HARPS_RVBank_ver02.dat,HD17039_HARPS_RVBank_ver02.csv,40.98151958333333,-7.912482777777778
HD170514,18:30:01.7,-05:22:05,G5V,,11.0,10.1,,,GLS of RVs | Inspect data,HD170514_HARPS_RVBank_ver02.dat,HD170514_HARPS_RVBank_ver02.csv,277.5070833333333,-5.368055555555555
HD170580,18:30:05.1198,+04:03:55.271,B2V,8567.8,6.8,6.69,6.634,465.61,GLS of RVs | Inspect data,HD170580_HARPS_RVBank_ver02.dat,HD170580_HARPS_RVBank_ver02.csv,277.52133249999997,4.065353055555556
HD170699,18:30:41.1676,+04:30:38.996,A2III/IV,7766.0,7.14,6.94,6.912,112.81,GLS of RVs | Inspect data,HD170699_HARPS_RVBank_ver02.dat,HD170699_HARPS_RVBank_ver02.csv,277.6715316666666,4.510832222222223
HD170706,18:32:27.2010,-37:05:18.283,G5V,5729.7,10.21,9.52,9.332,96.11,GLS of RVs | Inspect data,HD170706_HARPS_RVBank_ver02.dat,HD170706_HARPS_RVBank_ver02.csv,278.1133375,-37.088411944444445
HD170808,18:36:12.0380,-65:31:56.883,M1III,4067.9,9.99,8.34,7.6,880.98,GLS of RVs | Inspect data,HD170808_HARPS_RVBank_ver02.dat,HD170808_HARPS_RVBank_ver02.csv,279.05015833333334,-65.5324675
HD170958,18:33:24.8725,-29:52:00.603,G8IV/V,5499.8,10.33,9.5,9.327,63.41,GLS of RVs | Inspect data,HD170958_HARPS_RVBank_ver02.dat,HD170958_HARPS_RVBank_ver02.csv,278.35363541666663,-29.866834166666667
HD171028,18:32:15.4933,+06:56:44.685,G0,5662.2,8.93,8.29,8.115,112.25,GLS of RVs | Inspect data,HD171028_HARPS_RVBank_ver02.dat,HD171028_HARPS_RVBank_ver02.csv,278.0645554166667,6.9457458333333335
HD171219,18:33:17.8360,+05:26:43.946,B8V,7485.3,7.8,7.65,7.582,438.9,GLS of RVs | Inspect data,HD171219_HARPS_RVBank_ver02.dat,HD171219_HARPS_RVBank_ver02.csv,278.3243166666666,5.445540555555556
HD171238,18:34:43.6759,-28:04:20.327,G8V,5436.3,9.41,8.65,8.419,44.48,GLS of RVs | Inspect data,HD171238_HARPS_RVBank_ver02.dat,HD171238_HARPS_RVBank_ver02.csv,278.68198291666664,-28.072313055555554
HD171488,18:34:20.1028,+18:41:24.234,G2V,,8.0,7.449,7.382,35.34,GLS of RVs | Inspect data,HD171488_HARPS_RVBank_ver02.dat,HD171488_HARPS_RVBank_ver02.csv,278.58376166666665,18.690065
HD171545,18:37:15.6620,-40:48:13.127,G6IICNIV,4174.0,8.42,6.95,6.385,609.53,GLS of RVs | Inspect data,HD171545_HARPS_RVBank_ver02.dat,HD171545_HARPS_RVBank_ver02.csv,279.3152583333333,-40.803646388888886
HD171587,18:36:09.2196,-10:53:26.571,G5V,5540.0,9.15,8.48,8.342,35.01,GLS of RVs | Inspect data,HD171587_HARPS_RVBank_ver02.dat,HD171587_HARPS_RVBank_ver02.csv,279.038415,-10.890714166666665
HD171658,18:35:58.4613,+05:24:59.985,K5,4262.1,10.08,8.86,8.358,468.58,GLS of RVs | Inspect data,HD171658_HARPS_RVBank_ver02.dat,HD171658_HARPS_RVBank_ver02.csv,278.99358874999996,5.4166625
HD171759,18:43:02.1363,-71:25:41.216,K0III,4500.0,5.138,4.003,3.66,66.01,GLS of RVs | Inspect data,HD171759_HARPS_RVBank_ver02.dat,HD171759_HARPS_RVBank_ver02.csv,280.75890124999995,-71.42811555555556
HD171834,18:36:39.0746,+06:40:18.498,F3V,6714.0,5.786,5.425,5.331,33.89,GLS of RVs | Inspect data,HD171834_HARPS_RVBank_ver02.dat,HD171834_HARPS_RVBank_ver02.csv,279.1628108333333,6.671805
HD171942,18:42:02.8473,-64:19:24.725,G5V,5704.8,9.39,8.67,8.532,54.59,GLS of RVs | Inspect data,HD171942_HARPS_RVBank_ver02.dat,HD171942_HARPS_RVBank_ver02.csv,280.51186375,-64.32353472222222
HD172046,18:37:48.4526,+05:53:00.474,B8V,9377.5,6.59,6.63,6.651,317.25,GLS of RVs | Inspect data,HD172046_HARPS_RVBank_ver02.dat,HD172046_HARPS_RVBank_ver02.csv,279.4518858333333,5.883464999999999
HD172103,18:38:19.0010,-01:06:46.767,F3/5V,6712.5,7.052,6.646,6.54,98.8,GLS of RVs | Inspect data,HD172103_HARPS_RVBank_ver02.dat,HD172103_HARPS_RVBank_ver02.csv,279.5791708333333,-1.1129908333333334
HD172211,18:43:37.3375,-64:33:05.130,K0III,5042.2,6.732,5.757,5.519,117.55,GLS of RVs | Inspect data,HD172211_HARPS_RVBank_ver02.dat,HD172211_HARPS_RVBank_ver02.csv,280.9055729166666,-64.551425
HD172513,18:42:02.3572,-34:27:58.805,G8V,5689.5,8.69,7.92,7.77,33.32,GLS of RVs | Inspect data,HD172513_HARPS_RVBank_ver02.dat,HD172513_HARPS_RVBank_ver02.csv,280.50982166666665,-34.46633472222223
HD172555,18:45:26.9009,-64:52:16.534,A7V,7816.0,4.967,4.767,4.725,28.79,GLS of RVs | Inspect data,HD172555_HARPS_RVBank_ver02.dat,HD172555_HARPS_RVBank_ver02.csv,281.3620870833333,-64.87125944444443
HD172568,18:43:08.7300,-45:54:02.778,G3V,5741.3,9.17,8.54,8.373,49.75,GLS of RVs | Inspect data,HD172568_HARPS_RVBank_ver02.dat,HD172568_HARPS_RVBank_ver02.csv,280.7863749999999,-45.900771666666664
HD172643,18:43:38.3663,-45:49:26.408,G5V,5645.0,9.73,9.05,8.88,57.9,GLS of RVs | Inspect data,HD172643_HARPS_RVBank_ver02.dat,HD172643_HARPS_RVBank_ver02.csv,280.90985958333323,-45.82400222222223
HD173282,18:45:18.6572,-21:00:05.817,F5/6V,6437.3,6.796,6.331,6.241,59.62,GLS of RVs | Inspect data,HD173282_HARPS_RVBank_ver02.dat,HD173282_HARPS_RVBank_ver02.csv,281.32773833333334,-21.001615833333332
HD173427,18:46:16.2651,-27:20:46.879,G1V,6488.0,9.16,8.73,,,GLS of RVs | Inspect data,HD173427_HARPS_RVBank_ver02.dat,HD173427_HARPS_RVBank_ver02.csv,281.56777124999996,-27.346355277777775
HD173540,18:47:44.6177,-40:24:22.197,G5/6III,5556.7,5.984,5.217,4.987,118.28,GLS of RVs | Inspect data,HD173540_HARPS_RVBank_ver02.dat,HD173540_HARPS_RVBank_ver02.csv,281.9359070833333,-40.40616583333333
HD17374,02:43:24.6001,-69:09:35.610,G8III,4919.8,7.66,6.66,6.402,162.31,GLS of RVs | Inspect data,HD17374_HARPS_RVBank_ver02.dat,HD17374_HARPS_RVBank_ver02.csv,40.852500416666665,-69.15989166666667
HD173787,18:47:52.3312,-20:16:28.243,B9III,7245.0,7.07,6.99,6.904,676.45,GLS of RVs | Inspect data,HD173787_HARPS_RVBank_ver02.dat,HD173787_HARPS_RVBank_ver02.csv,281.9680466666667,-20.274511944444445
HD1737,00:21:31.1982,-28:58:53.292,K0III,4935.2,6.169,5.167,4.92,104.47,GLS of RVs | Inspect data,HD1737_HARPS_RVBank_ver02.dat,HD1737_HARPS_RVBank_ver02.csv,5.379992499999998,-28.981469999999998
HD173819,18:47:28.9498,-05:42:18.542,K4/5pec,,6.67,5.2,5.058,394.46,GLS of RVs | Inspect data,HD173819_HARPS_RVBank_ver02.dat,HD173819_HARPS_RVBank_ver02.csv,281.87062416666663,-5.705150555555556
HD17383,02:47:37.4865,+10:13:34.552,F5,6338.0,9.56,9.07,8.953,160.3,GLS of RVs | Inspect data,HD17383_HARPS_RVBank_ver02.dat,HD17383_HARPS_RVBank_ver02.csv,41.90619374999999,10.226264444444444
HD173885,18:48:11.8021,-14:42:30.009,F6V,6140.0,7.35,6.85,6.727,50.65,GLS of RVs | Inspect data,HD173885_HARPS_RVBank_ver02.dat,HD173885_HARPS_RVBank_ver02.csv,282.0491754166666,-14.708335833333333
HD174153,18:51:19.7229,-44:28:32.504,F7V,6161.3,8.06,7.55,7.428,51.22,GLS of RVs | Inspect data,HD174153_HARPS_RVBank_ver02.dat,HD174153_HARPS_RVBank_ver02.csv,282.83217874999997,-44.47569555555556
HD174295,18:52:39.6449,-52:06:26.531,G8/K0III,4918.0,6.138,5.173,4.911,82.86,GLS of RVs | Inspect data,HD174295_HARPS_RVBank_ver02.dat,HD174295_HARPS_RVBank_ver02.csv,283.1651870833333,-52.107369722222224
HD17439,02:44:04.0795,-68:08:54.237,G5V,5739.5,9.31,8.64,8.471,56.64,GLS of RVs | Inspect data,HD17439_HARPS_RVBank_ver02.dat,HD17439_HARPS_RVBank_ver02.csv,41.01699791666666,-68.14839916666668
HD174429,18:53:05.8735,-50:10:49.897,G9IV,5337.5,9.22,8.342,8.102,47.25,GLS of RVs | Inspect data,HD174429_HARPS_RVBank_ver02.dat,HD174429_HARPS_RVBank_ver02.csv,283.27447291666664,-50.180526944444445
HD174512,18:51:07.9760,-06:16:45.047,A0II/III,5500.9,9.055,8.557,8.364,2224.69,GLS of RVs | Inspect data,HD174512_HARPS_RVBank_ver02.dat,HD174512_HARPS_RVBank_ver02.csv,282.7832333333333,-6.2791797222222225
HD174545,18:53:57.2648,-54:54:22.615,K2IV,5171.0,9.28,8.39,8.175,35.12,GLS of RVs | Inspect data,HD174545_HARPS_RVBank_ver02.dat,HD174545_HARPS_RVBank_ver02.csv,283.4886033333333,-54.906281944444444
HD175100,18:53:29.8985,+09:39:30.828,M3,3589.0,9.25,7.46,6.111,728.23,GLS of RVs | Inspect data,HD175100_HARPS_RVBank_ver02.dat,HD175100_HARPS_RVBank_ver02.csv,283.3745770833333,9.658563333333333
HD175128,18:55:20.5294,-32:32:34.232,F7/8V,5975.5,8.95,8.37,8.251,90.39,GLS of RVs | Inspect data,HD175128_HARPS_RVBank_ver02.dat,HD175128_HARPS_RVBank_ver02.csv,283.83553916666665,-32.54284222222222
HD175179,18:54:23.2029,-04:36:18.621,G5V,,9.61,9.03,8.917,73.37,GLS of RVs | Inspect data,HD175179_HARPS_RVBank_ver02.dat,HD175179_HARPS_RVBank_ver02.csv,283.5966787499999,-4.605172499999999
HD175219,18:56:16.9512,-42:42:38.423,K0III,4830.9,6.341,5.346,5.065,96.3,GLS of RVs | Inspect data,HD175219_HARPS_RVBank_ver02.dat,HD175219_HARPS_RVBank_ver02.csv,284.07062999999994,-42.71067305555556
HD175224B,18:57:30.4915,-55:59:28.027,K7Ve,,11.95,10.13,9.05,12.34,GLS of RVs | Inspect data,HD175224B_HARPS_RVBank_ver02.dat,HD175224B_HARPS_RVBank_ver02.csv,284.3770479166666,-55.99111861111111
HD17548,02:48:51.8533,-01:30:34.766,F7/G0(V),6100.3,8.66,8.18,8.016,56.1,GLS of RVs | Inspect data,HD17548_HARPS_RVBank_ver02.dat,HD17548_HARPS_RVBank_ver02.csv,42.216055416666656,-1.5096572222222222
HD175541,18:55:40.8841,+04:15:55.165,G6/8IV,5048.7,8.9,8.0,7.771,130.77,GLS of RVs | Inspect data,HD175541_HARPS_RVBank_ver02.dat,HD175541_HARPS_RVBank_ver02.csv,283.9203504166666,4.2653236111111115
HD175607,19:01:05.4891,-66:11:33.640,G6V,,9.31,8.61,8.421,40.42,GLS of RVs | Inspect data,HD175607_HARPS_RVBank_ver02.dat,HD175607_HARPS_RVBank_ver02.csv,285.27287125,-66.19267777777779
HD175639,18:56:14.6410,+04:12:07.659,A5Vn,7632.3,5.18,4.98,4.926,40.77,GLS of RVs | Inspect data,HD175639_HARPS_RVBank_ver02.dat,HD175639_HARPS_RVBank_ver02.csv,284.06100416666663,4.2021275000000005
HD175775,18:57:43.7990,-21:06:23.961,G8/K0II/III,4543.5,4.69,3.51,3.039,86.61,GLS of RVs | Inspect data,HD175775_HARPS_RVBank_ver02.dat,HD175775_HARPS_RVBank_ver02.csv,284.4324958333333,-21.106655833333335
HD175989,18:57:42.0148,+09:42:01.782,G0,4997.1,10.26,9.31,9.03,124.88,GLS of RVs | Inspect data,HD175989_HARPS_RVBank_ver02.dat,HD175989_HARPS_RVBank_ver02.csv,284.42506166666664,9.700495
HD175990,18:57:42.8290,+09:41:52.778,G0,6136.1,9.88,9.4,9.185,105.95,GLS of RVs | Inspect data,HD175990_HARPS_RVBank_ver02.dat,HD175990_HARPS_RVBank_ver02.csv,284.4284541666666,9.69799388888889
HD17599,02:47:07.6139,-57:26:14.724,G0V,5962.8,8.84,8.25,8.119,59.22,GLS of RVs | Inspect data,HD17599_HARPS_RVBank_ver02.dat,HD17599_HARPS_RVBank_ver02.csv,41.78172458333332,-57.43742333333333
HD176157,18:58:56.4906,-00:30:14.356,K0V,5231.7,9.22,8.39,8.164,31.38,GLS of RVs | Inspect data,HD176157_HARPS_RVBank_ver02.dat,HD176157_HARPS_RVBank_ver02.csv,284.7353774999999,-0.5039877777777778
HD17617,02:49:19.8953,-10:33:01.952,G1V,5951.0,8.96,8.72,,,GLS of RVs | Inspect data,HD17617_HARPS_RVBank_ver02.dat,HD17617_HARPS_RVBank_ver02.csv,42.33289708333333,-10.550542222222223
HD176269,19:01:03.2540,-37:03:39.303,B9V,9605.0,6.54,6.69,6.716,153.37,GLS of RVs | Inspect data,HD176269_HARPS_RVBank_ver02.dat,HD176269_HARPS_RVBank_ver02.csv,285.26355833333326,-37.060917499999995
HD176303,18:59:05.7387,+13:37:20.074,F8V,6117.7,5.788,5.258,5.117,47.77,GLS of RVs | Inspect data,HD176303_HARPS_RVBank_ver02.dat,HD176303_HARPS_RVBank_ver02.csv,284.77391124999997,13.622242777777778
HD176354,19:03:12.2292,-56:59:48.007,K0III,5233.0,7.94,7.07,6.857,48.85,GLS of RVs | Inspect data,HD176354_HARPS_RVBank_ver02.dat,HD176354_HARPS_RVBank_ver02.csv,285.800955,-56.99666861111111
HD176386,19:01:38.9318,-36:53:26.561,B9V,8153.7,7.44,7.32,7.291,155.15,GLS of RVs | Inspect data,HD176386_HARPS_RVBank_ver02.dat,HD176386_HARPS_RVBank_ver02.csv,285.4122158333333,-36.89071138888889
HD176387,19:02:12.2792,-46:39:12.083,A0w,7281.8,9.14,8.94,8.974,489.57,GLS of RVs | Inspect data,HD176387_HARPS_RVBank_ver02.dat,HD176387_HARPS_RVBank_ver02.csv,285.55116333333336,-46.65335638888889
HD176535,19:01:19.4911,-13:41:26.481,K3.5Vk:,4727.0,10.9,9.68,9.374,36.99,GLS of RVs | Inspect data,HD176535_HARPS_RVBank_ver02.dat,HD176535_HARPS_RVBank_ver02.csv,285.33121291666663,-13.690689166666667
HD176638,19:03:06.8768,-42:05:42.380,B9.5Vann,9222.0,4.701,4.725,4.71,54.94,GLS of RVs | Inspect data,HD176638_HARPS_RVBank_ver02.dat,HD176638_HARPS_RVBank_ver02.csv,285.7786533333333,-42.095105555555556
HD176704,19:02:27.6750,-24:50:48.571,K2III,4485.0,6.849,5.628,5.282,80.08,GLS of RVs | Inspect data,HD176704_HARPS_RVBank_ver02.dat,HD176704_HARPS_RVBank_ver02.csv,285.61531249999996,-24.846825277777775
HD176864,19:05:58.1829,-60:06:33.283,M2III,3910.1,10.55,8.9,7.895,826.92,GLS of RVs | Inspect data,HD176864_HARPS_RVBank_ver02.dat,HD176864_HARPS_RVBank_ver02.csv,286.49242875,-60.10924527777778
HD176982,19:02:44.3964,-00:42:40.397,G5V,5516.0,9.05,8.35,8.18,102.89,GLS of RVs | Inspect data,HD176982_HARPS_RVBank_ver02.dat,HD176982_HARPS_RVBank_ver02.csv,285.684985,-0.7112213888888889
HD176983,19:02:46.1708,-00:42:41.899,G3/5V,5409.0,9.83,9.23,8.885,66.76,GLS of RVs | Inspect data,HD176983_HARPS_RVBank_ver02.dat,HD176983_HARPS_RVBank_ver02.csv,285.69237833333335,-0.711638611111111
HD176986,19:03:05.8729,-11:02:38.130,K2.5V,,9.39,8.45,8.152,27.89,GLS of RVs | Inspect data,HD176986_HARPS_RVBank_ver02.dat,HD176986_HARPS_RVBank_ver02.csv,285.77447041666665,-11.043925
HD177033,19:04:06.6496,-28:12:11.079,K2/3(V),4838.0,10.98,10.07,9.628,45.56,GLS of RVs | Inspect data,HD177033_HARPS_RVBank_ver02.dat,HD177033_HARPS_RVBank_ver02.csv,286.02770666666663,-28.2030775
HD177122,19:04:41.4772,-31:22:21.677,G2V,5977.1,8.8,8.2,8.079,54.41,GLS of RVs | Inspect data,HD177122_HARPS_RVBank_ver02.dat,HD177122_HARPS_RVBank_ver02.csv,286.1728216666666,-31.372688055555557
HD177178,19:03:32.2462,+01:49:07.443,A4IV/V,7900.3,5.991,5.815,5.789,56.24,GLS of RVs | Inspect data,HD177178_HARPS_RVBank_ver02.dat,HD177178_HARPS_RVBank_ver02.csv,285.8843591666666,1.8187341666666668
HD177409,19:09:54.5555,-68:17:58.887,G1VCH-0.4,5880.0,8.14,7.52,7.381,36.62,GLS of RVs | Inspect data,HD177409_HARPS_RVBank_ver02.dat,HD177409_HARPS_RVBank_ver02.csv,287.4773145833333,-68.29969083333333
HD177444,19:05:00.1269,-07:08:30.793,B1/2V,9510.2,8.59,8.55,8.547,2527.81,GLS of RVs | Inspect data,HD177444_HARPS_RVBank_ver02.dat,HD177444_HARPS_RVBank_ver02.csv,286.25052874999994,-7.141886944444445
HD177474,19:06:25.2146,-37:03:47.792,F8V,,5.07,4.53,4.842,17.04,GLS of RVs | Inspect data,HD177474_HARPS_RVBank_ver02.dat,HD177474_HARPS_RVBank_ver02.csv,286.6050608333333,-37.063275555555556
HD177565,19:06:52.4643,-37:48:38.373,G6V,,6.88,6.16,5.981,16.95,GLS of RVs | Inspect data,HD177565_HARPS_RVBank_ver02.dat,HD177565_HARPS_RVBank_ver02.csv,286.71860125,-37.81065916666667
HD177730,19:06:21.1608,-10:43:06.546,G8/K0(III)+G0/2,5782.0,10.03,9.42,9.367,87.3,GLS of RVs | Inspect data,HD177730_HARPS_RVBank_ver02.dat,HD177730_HARPS_RVBank_ver02.csv,286.58817,-10.718485
HD177756,19:06:14.9386,-04:52:57.225,B8.5V,7654.7,3.34,3.43,3.434,39.0,GLS of RVs | Inspect data,HD177756_HARPS_RVBank_ver02.dat,HD177756_HARPS_RVBank_ver02.csv,286.56224416666663,-4.882562500000001
HD177758,19:06:25.3194,-11:53:50.691,G2VFe-1.0CH-0.6,,7.81,7.24,7.115,37.94,GLS of RVs | Inspect data,HD177758_HARPS_RVBank_ver02.dat,HD177758_HARPS_RVBank_ver02.csv,286.60549749999996,-11.897414166666666
HD177805,19:13:16.9292,-73:18:53.449,M3II/III,3733.0,10.03,8.35,7.254,749.27,GLS of RVs | Inspect data,HD177805_HARPS_RVBank_ver02.dat,HD177805_HARPS_RVBank_ver02.csv,288.3205383333333,-73.31484694444444
HD177847,19:07:36.7790,-31:40:17.853,M3III,3615.6,10.14,8.59,7.303,592.91,GLS of RVs | Inspect data,HD177847_HARPS_RVBank_ver02.dat,HD177847_HARPS_RVBank_ver02.csv,286.9032458333333,-31.671625833333334
HD177873,19:08:20.9696,-40:29:48.112,K1III,4654.3,5.664,4.571,4.249,56.63,GLS of RVs | Inspect data,HD177873_HARPS_RVBank_ver02.dat,HD177873_HARPS_RVBank_ver02.csv,287.0873733333333,-40.496697777777776
HD17793,02:50:14.7836,-35:50:37.023,K0III,5059.0,6.84,5.92,5.705,130.3,GLS of RVs | Inspect data,HD17793_HARPS_RVBank_ver02.dat,HD17793_HARPS_RVBank_ver02.csv,42.56159833333333,-35.8436175
HD178085,19:10:57.8503,-60:16:19.925,G1V,5858.9,,,8.173,58.52,GLS of RVs | Inspect data,HD178085_HARPS_RVBank_ver02.dat,HD178085_HARPS_RVBank_ver02.csv,287.74104291666663,-60.27220138888889
HD17824,02:51:02.3271,-21:00:14.441,K0III,5018.0,5.67,4.77,4.523,59.55,GLS of RVs | Inspect data,HD17824_HARPS_RVBank_ver02.dat,HD17824_HARPS_RVBank_ver02.csv,42.75969625,-21.004011388888888
HD178340,19:08:56.9187,-17:32:08.909,G8V,5545.0,8.94,8.15,7.99,48.91,GLS of RVs | Inspect data,HD178340_HARPS_RVBank_ver02.dat,HD178340_HARPS_RVBank_ver02.csv,287.23716125,-17.535808055555556
HD178479,19:08:25.1708,+09:08:00.776,B9,6791.0,9.25,8.93,8.915,797.45,GLS of RVs | Inspect data,HD178479_HARPS_RVBank_ver02.dat,HD178479_HARPS_RVBank_ver02.csv,287.10487833333326,9.133548888888889
HD178484,19:08:52.2470,-02:17:13.879,K2III,4445.0,7.874,6.587,6.156,201.66,GLS of RVs | Inspect data,HD178484_HARPS_RVBank_ver02.dat,HD178484_HARPS_RVBank_ver02.csv,287.21769583333327,-2.287188611111111
HD17848,02:49:01.4872,-62:48:23.479,A2V,8380.3,5.352,5.253,5.24,51.92,GLS of RVs | Inspect data,HD17848_HARPS_RVBank_ver02.dat,HD17848_HARPS_RVBank_ver02.csv,42.25619666666665,-62.80652194444444
HD178787,19:11:01.9676,-25:48:50.153,K0,5185.0,10.03,9.16,8.943,49.51,GLS of RVs | Inspect data,HD178787_HARPS_RVBank_ver02.dat,HD178787_HARPS_RVBank_ver02.csv,287.7581983333333,-25.81393138888889
HD178880,19:10:09.8580,+02:21:26.599,B9II/III,6397.5,8.21,7.87,7.743,758.84,GLS of RVs | Inspect data,HD178880_HARPS_RVBank_ver02.dat,HD178880_HARPS_RVBank_ver02.csv,287.541075,2.3573886111111113
HD178904,19:13:00.9015,-49:54:10.192,G3/5IV,5736.2,9.03,8.35,8.212,54.24,GLS of RVs | Inspect data,HD178904_HARPS_RVBank_ver02.dat,HD178904_HARPS_RVBank_ver02.csv,288.2537562499999,-49.90283111111111
HD17906B,02:52:52.9305,+10:40:07.655,,5264.3,10.28,9.51,9.457,136.67,GLS of RVs | Inspect data,HD17906B_HARPS_RVBank_ver02.dat,HD17906B_HARPS_RVBank_ver02.csv,43.22054375,10.668793055555556
