toi,name,exofop_url,harps_url
TOI0567,WASP-36,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0567,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/WASP-36_RVs/WASP-36_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0570,TOI-570,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0570,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TOI-570_RVs/TOI-570_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0576,BD-202976,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0576,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/BD-202976_RVs/BD-202976_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0585,HD76859,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0585,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/HD76859_RVs/HD76859_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0602,TYC7118-2550-1,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0602,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TYC7118-2550-1_RVs/TYC7118-2550-1_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0603,BD+062168,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0603,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/BD+062168_RVs/BD+062168_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0618,TYC7644-2302-1,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0618,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TYC7644-2302-1_RVs/TYC7644-2302-1_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0641,CD-234300,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0641,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/CD-234300_RVs/CD-234300_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0652,HD86226,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0652,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/HD86226_RVs/HD86226_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0655,WASP-19,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0655,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/WASP-19_RVs/WASP-19_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0656,WASP-43,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0656,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/WASP-43_RVs/WASP-43_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0660,TYC4927-1063-1,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0660,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TYC4927-1063-1_RVs/TYC4927-1063-1_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0664,HD93396,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0664,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/HD93396_RVs/HD93396_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0668,TYC7716-1898-1,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0668,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TYC7716-1898-1_RVs/TYC7716-1898-1_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0674,TOI-674,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0674,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TOI-674_RVs/TOI-674_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0675,WASP-127,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0675,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/WASP-127_RVs/WASP-127_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0680,HIP58234,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0680,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/HIP58234_RVs/HIP58234_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0683,WASP-31,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0683,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/WASP-31_RVs/WASP-31_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0685,BD+012494,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0685,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/BD+012494_RVs/BD+012494_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0697,CD-361818,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0697,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/CD-361818_RVs/CD-361818_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0700,TOI-700,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0700,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TOI-700_RVs/TOI-700_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0744,WASP-34,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0744,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/WASP-34_RVs/WASP-34_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0745,TYC8602-1360-1,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0745,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TYC8602-1360-1_RVs/TYC8602-1360-1_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0747,TYC8633-394-1,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0747,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TYC8633-394-1_RVs/TYC8633-394-1_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0748,CD-348618,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0748,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/CD-348618_RVs/CD-348618_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0752,WASP-129,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0752,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/WASP-129_RVs/WASP-129_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0755,HD110113,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0755,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/HD110113_RVs/HD110113_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0757,CD-348236,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0757,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/CD-348236_RVs/CD-348236_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0759,TYC7730-223-1,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0759,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TYC7730-223-1_RVs/TYC7730-223-1_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0763,CD-397945,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0763,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/CD-397945_RVs/CD-397945_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0767,WASP-25,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0767,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/WASP-25_RVs/WASP-25_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0769,WASP-42,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0769,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/WASP-42_RVs/WASP-42_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0772,TYC6110-1007-1,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0772,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TYC6110-1007-1_RVs/TYC6110-1007-1_HARPS_RVBank_ver02_rvsonly.dat&run
